fips,year,bartik_supply
26067,2014,0.5556145004420866
26067,2015,0.5659895649771369
26067,2016,0.5721513174753419
26067,2017,0.5785501962186714
26067,2018,0.5869960312802457
26067,2019,0.5917518884757395
26067,2020,0.54995674851914
26067,2021,0.5683913861054966
26067,2022,0.5910534014197305
26067,2023,0.5998718455583795
26073,2014,0.8342874359746911
26073,2015,0.853610308444861
26073,2016,0.8671018098573778
26073,2017,0.8813083674404911
26073,2018,0.8988018124808768
26073,2019,0.9106187500331867
26073,2020,0.8318207213112222
26073,2021,0.8700520497519182
26073,2022,0.9160624433901733
26073,2023,0.9335527094728093
26113,2014,0.758201253225212
26113,2015,0.7738239818409312
26113,2016,0.7833355879345834
26113,2017,0.7927709434294301
26113,2018,0.8065230276696665
26113,2019,0.8160634771604719
26113,2020,0.7864958937929052
26113,2021,0.8089866684193068
26113,2022,0.8356856693242151
26113,2023,0.8414727613733454
26107,2014,0.8583293211362542
26107,2015,0.876906601761244
26107,2016,0.8901136428546891
26107,2017,0.9004215618219078
26107,2018,0.912671182981249
26107,2019,0.9196231867225397
26107,2020,0.8446347958400497
26107,2021,0.883465893824694
26107,2022,0.9242838067655222
26107,2023,0.9364111297886684
26099,2014,0.8592519360685451
26099,2015,0.8781213828992727
26099,2016,0.890859625522042
26099,2017,0.9027905257281424
26099,2018,0.9182766014586308
26099,2019,0.9285269640486685
26099,2020,0.8609016729140736
26099,2021,0.8960795702432285
26099,2022,0.9393477251057749
26099,2023,0.9522730035335533
26111,2014,0.8196672342205096
26111,2015,0.8378853815276911
26111,2016,0.8515438468211917
26111,2017,0.863729426547102
26111,2018,0.8800873787282076
26111,2019,0.8908407093840724
26111,2020,0.8221943619920957
26111,2021,0.8549882917022594
26111,2022,0.8995400303004204
26111,2023,0.913019088411673
26105,2014,0.8047404063205419
26105,2015,0.8230921700632382
26105,2016,0.8361393527588482
26105,2017,0.8474374938661288
26105,2018,0.8617356190712492
26105,2019,0.8711468304420996
26105,2020,0.8022963024559031
26105,2021,0.8382895666432827
26105,2022,0.8792544299855275
